Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7789623312011372,0.6162361623616236,0.446524064171123,0.517829457364341,0.8164799581717753
Decision Tree,0.7775408670931059,0.6093189964157706,0.45454545454545453,0.5206738131699847,0.8069430711649266
